,Application mode,Application order,Course,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
60,1,2,9500,125.0,19,19,9,9,114.9,0,0,1,0,0,18,8,6,13.133333333333333,12,7,12.221428571428572,16.2,0.3,-0.92,0
67,44,1,9003,130.0,19,37,9,9,130.0,1,0,1,1,0,23,8,6,12.571428571428571,7,6,12.428571428571429,8.9,1.4,3.51,0
74,1,2,9773,142.0,38,38,9,9,132.9,1,0,1,1,0,18,8,6,12.333333333333334,11,3,12.333333333333334,10.8,1.4,1.74,0
77,17,4,9773,121.0,1,19,9,8,120.3,1,1,1,1,1,19,6,6,13.666666666666666,6,6,13.333333333333334,8.9,1.4,3.51,0
78,17,4,9500,150.0,38,37,9,9,130.8,0,0,1,1,1,22,7,7,14.842857142857142,9,8,15.055555555555555,16.2,0.3,-0.92,0
80,1,6,9853,114.0,19,19,9,9,110.2,1,0,1,1,0,20,8,5,12.2,7,5,12.2,10.8,1.4,1.74,1
91,17,2,9773,133.1,19,1,9,9,105.0,1,0,0,0,0,21,6,6,14.0,6,6,13.5,8.9,1.4,3.51,0
96,1,5,9773,135.0,37,1,5,5,124.9,1,0,1,0,0,18,6,6,13.666666666666666,6,6,13.333333333333334,8.9,1.4,3.51,0
97,1,5,9500,132.0,37,37,7,7,120.3,1,0,1,0,1,18,7,7,13.75,9,8,14.47777777777778,12.4,0.5,1.79,0
110,1,1,9238,142.0,37,37,6,7,136.1,1,0,1,0,0,18,8,6,13.857142857142858,6,6,15.0,13.9,-0.3,0.79,0
112,1,1,9085,131.0,19,19,9,9,139.8,1,0,1,0,0,19,6,5,13.4,5,5,12.8,10.8,1.4,1.74,0
119,1,1,9147,127.0,2,19,4,5,121.8,0,0,1,0,0,18,5,5,12.6,5,5,14.0,11.1,0.6,2.02,0
123,1,1,9670,131.0,38,38,9,9,127.9,0,0,1,0,1,19,5,5,12.8,5,5,14.2,9.4,-0.8,-3.12,0
128,17,3,9238,131.0,1,39,5,3,122.6,1,0,1,0,0,18,7,6,13.0,6,6,13.666666666666666,12.4,0.5,1.79,0
129,17,6,9500,132.0,1,37,8,9,128.0,1,0,1,0,0,19,7,7,13.467142857142855,9,8,15.011111111111113,12.4,0.5,1.79,0
130,1,3,9500,138.0,19,19,5,8,124.9,1,0,1,0,1,18,9,7,13.2375,9,7,13.742857142857144,13.9,-0.3,0.79,1
131,17,2,9070,130.0,37,37,9,9,123.7,1,0,1,0,0,18,6,6,12.333333333333334,6,6,13.0,7.6,2.6,0.32,0
132,1,4,9147,126.0,1,19,4,8,120.1,1,0,1,0,0,19,7,5,12.4,5,5,14.6,8.9,1.4,3.51,0
135,1,1,9670,117.0,1,38,3,9,109.3,0,1,0,0,1,19,7,5,12.0,9,4,12.5,12.4,0.5,1.79,1
136,17,1,9670,120.0,19,19,5,5,113.0,1,0,1,0,0,20,7,4,12.2,5,4,11.5,7.6,2.6,0.32,0
140,1,5,9500,129.0,37,37,9,9,128.8,1,0,1,0,0,19,7,6,12.666666666666666,7,6,12.666666666666666,7.6,2.6,0.32,0
141,1,6,9773,116.0,19,1,4,4,110.1,1,0,1,0,1,19,8,6,12.666666666666666,10,5,12.0,12.4,0.5,1.79,0
143,1,3,9238,135.0,1,12,9,10,121.0,1,0,1,0,1,19,7,6,11.333333333333334,6,6,11.5,12.4,0.5,1.79,0
144,1,3,9500,141.0,19,19,9,7,131.7,1,0,1,0,1,19,10,7,13.605,11,8,12.33125,15.5,2.8,-4.06,0
145,17,5,9853,132.0,37,38,5,6,119.1,1,0,1,0,1,19,10,5,12.0,9,5,10.8,9.4,-0.8,-3.12,0
147,17,1,9254,113.0,1,37,9,10,117.2,1,0,1,0,0,20,8,5,11.2,12,3,11.666666666666666,7.6,2.6,0.32,1
148,1,1,9147,134.0,3,19,2,10,128.8,0,0,1,0,0,18,10,5,13.375,9,5,14.166666666666666,13.9,-0.3,0.79,0
149,1,1,9500,136.0,1,19,9,9,131.5,0,0,1,0,1,20,8,6,13.863333333333337,9,7,14.178571428571429,11.1,0.6,2.02,0
151,1,1,9085,129.0,1,38,4,7,123.4,0,0,1,0,0,19,6,5,12.4,6,5,13.4,7.6,2.6,0.32,0
153,1,1,9853,137.0,37,37,9,9,132.8,1,0,1,0,0,18,7,6,13.333333333333334,8,5,11.8,7.6,2.6,0.32,0
155,1,1,9853,129.0,38,37,6,6,138.1,0,0,1,0,0,19,8,6,12.0,10,4,11.5,7.6,2.6,0.32,1
156,1,1,9147,131.0,38,38,9,9,126.5,0,0,1,0,1,18,5,5,10.6,5,5,11.8,12.4,0.5,1.79,0
157,17,2,9238,133.0,1,37,7,9,127.4,1,0,1,0,1,18,8,6,12.25,7,6,11.857142857142858,12.7,3.7,-1.7,0
158,1,3,9238,125.0,19,1,9,10,123.6,1,0,1,0,0,20,10,4,11.0,9,6,11.833333333333334,9.4,-0.8,-3.12,0
160,1,1,9670,128.0,19,1,4,1,118.2,0,0,1,0,0,19,6,6,13.166666666666666,9,6,13.0,10.8,1.4,1.74,1
161,1,1,9500,127.0,19,37,9,7,123.9,1,0,1,0,1,18,9,7,12.855555555555554,12,7,12.761111111111113,15.5,2.8,-4.06,0
162,1,2,9500,134.0,19,19,9,9,125.8,1,0,1,0,0,18,8,7,14.91875,8,8,15.355,15.5,2.8,-4.06,0
164,17,2,9670,124.0,1,19,5,4,124.4,0,0,1,0,0,19,5,5,14.2,5,5,14.2,7.6,2.6,0.32,0
165,17,1,9773,133.1,19,37,7,7,126.0,0,0,1,0,1,19,6,6,12.5,7,6,13.0,15.5,2.8,-4.06,0
167,17,3,9238,125.0,19,19,7,8,121.5,0,0,1,0,0,19,10,5,11.666666666666666,12,4,11.0,13.9,-0.3,0.79,0
171,17,2,9556,133.1,37,37,3,10,108.0,0,0,1,0,0,20,8,7,12.457142857142856,8,8,13.5625,15.5,2.8,-4.06,0
172,17,1,9500,131.0,2,38,4,5,132.3,1,0,1,0,0,19,7,6,11.683333333333332,7,6,11.683333333333332,7.6,2.6,0.32,0
174,17,2,9254,125.0,37,37,9,8,122.6,1,1,0,0,0,20,8,4,11.75,6,6,13.166666666666666,11.1,0.6,2.02,1
177,1,2,9500,123.0,34,34,90,90,113.3,1,0,1,0,0,20,8,4,11.95,8,4,11.95,7.6,2.6,0.32,1
178,1,5,9853,141.0,37,19,9,5,133.0,1,0,1,0,0,18,8,5,12.4,12,5,10.4,9.4,-0.8,-3.12,1
187,17,3,9500,141.0,38,1,9,4,129.0,1,0,1,0,1,18,7,6,13.05,7,6,13.05,7.6,2.6,0.32,0
190,1,1,9254,125.0,19,38,9,8,121.5,0,0,1,0,1,21,7,6,12.0,6,6,12.5,13.9,-0.3,0.79,0
194,1,4,9500,142.0,38,38,9,8,129.8,1,0,1,0,0,18,8,7,12.242857142857144,8,7,12.242857142857144,12.7,3.7,-1.7,0
198,1,1,9853,130.0,19,19,3,8,131.8,0,0,1,0,0,18,9,7,12.571428571428571,8,7,14.428571428571429,11.1,0.6,2.02,0
201,1,4,9238,127.0,19,19,4,0,127.4,1,0,1,0,0,20,8,6,11.166666666666666,6,6,11.333333333333334,7.6,2.6,0.32,0
202,1,4,9500,140.0,19,19,7,7,129.5,1,0,1,0,0,18,8,7,12.324285714285711,8,7,12.324285714285711,10.8,1.4,1.74,0
204,17,2,9238,128.0,19,37,9,8,116.5,0,0,1,0,1,18,11,5,11.142857142857142,11,4,11.25,16.2,0.3,-0.92,0
205,1,1,9238,132.0,34,34,0,0,119.1,1,0,1,0,0,18,9,4,11.0,9,4,10.75,7.6,2.6,0.32,0
206,1,2,9500,149.0,19,38,9,9,126.5,1,0,1,0,0,18,8,7,12.914285714285713,8,7,12.914285714285713,12.7,3.7,-1.7,0
207,1,4,9773,155.0,3,19,1,4,149.8,1,0,1,0,1,18,6,6,13.833333333333334,6,6,14.166666666666666,16.2,0.3,-0.92,0
208,1,1,9085,120.0,19,1,8,7,115.1,1,0,1,0,0,19,8,6,13.857142857142858,9,5,13.4,13.9,-0.3,0.79,0
210,1,2,9500,131.0,38,1,7,4,128.3,1,0,1,0,1,18,8,7,12.642857142857142,8,7,12.642857142857142,12.7,3.7,-1.7,0
211,1,1,9500,149.0,37,37,9,9,136.0,0,0,1,0,1,18,7,6,12.916666666666666,7,6,12.916666666666666,7.6,2.6,0.32,0
212,43,1,9130,140.0,1,3,9,2,140.0,1,0,1,0,1,20,8,6,15.625,8,6,15.857142857142858,13.9,-0.3,0.79,0
214,43,1,9773,122.0,1,1,4,5,126.9,0,0,1,0,0,21,8,6,11.714285714285714,7,6,12.0,7.6,2.6,0.32,0
216,18,1,9147,121.0,19,3,5,5,115.8,1,0,1,0,1,19,7,5,11.6,5,5,11.6,12.4,0.5,1.79,0
220,1,1,9147,133.0,38,38,7,7,147.0,0,0,1,0,1,18,7,4,13.0,8,3,12.333333333333334,9.4,-0.8,-3.12,0
221,1,4,9853,134.0,37,37,5,7,122.5,0,0,1,0,1,19,6,6,13.333333333333334,6,6,14.5,10.8,1.4,1.74,0
223,51,1,9500,127.0,19,1,5,9,150.0,0,0,1,0,1,19,9,5,13.85,9,7,12.19285714285714,11.1,0.6,2.02,0
224,18,1,9500,135.0,1,38,4,5,127.5,1,0,1,0,1,19,8,6,13.741666666666667,9,7,14.9125,16.2,0.3,-0.92,0
227,1,1,9238,135.0,1,1,9,9,133.3,0,0,1,0,1,20,6,6,12.0,7,6,12.857142857142858,11.1,0.6,2.02,0
230,1,2,9254,140.0,1,37,4,5,123.6,1,0,1,0,0,18,10,6,12.857142857142858,6,3,12.666666666666666,12.7,3.7,-1.7,0
232,1,2,9670,135.0,1,3,4,3,133.3,0,0,1,0,0,19,5,5,13.0,5,5,13.2,9.4,-0.8,-3.12,0
233,1,1,9254,123.0,1,37,9,9,132.1,0,0,1,0,1,21,9,5,11.0,8,5,12.0,15.5,2.8,-4.06,0
235,1,1,9238,154.0,38,37,9,9,140.4,0,0,1,0,1,22,6,5,12.6,6,6,13.0,10.8,1.4,1.74,0
236,1,1,9853,148.0,19,19,5,7,141.7,0,0,1,0,1,18,8,5,13.4,7,6,13.166666666666666,9.4,-0.8,-3.12,0
237,17,2,9238,133.0,37,37,3,9,119.7,0,0,1,0,1,18,9,6,11.333333333333334,9,6,11.571428571428571,15.5,2.8,-4.06,0
242,1,2,9147,118.0,37,19,5,5,119.1,1,0,1,0,1,20,5,5,11.6,5,5,13.6,12.4,0.5,1.79,0
246,17,3,9500,129.0,19,37,7,6,120.0,1,0,1,0,1,19,8,7,13.151428571428571,8,7,13.151428571428571,10.8,1.4,1.74,0
248,1,3,9254,121.0,19,37,4,7,116.8,1,0,1,0,0,21,8,6,11.333333333333334,8,4,12.25,11.1,0.6,2.02,0
251,1,3,9773,131.0,38,37,7,7,127.2,1,0,1,0,1,18,6,6,15.0,6,6,12.833333333333334,8.9,1.4,3.51,1
252,1,1,9085,122.0,9,19,90,6,103.4,0,0,1,0,0,19,6,5,14.4,6,5,13.0,7.6,2.6,0.32,0
254,17,1,9147,136.0,1,1,4,4,124.1,0,0,1,0,0,18,8,5,12.4,6,5,10.8,8.9,1.4,3.51,0
258,1,1,9238,121.0,1,1,9,8,118.9,1,0,1,0,1,19,8,5,11.666666666666666,9,5,12.666666666666666,12.4,0.5,1.79,0
260,1,1,9254,131.0,37,38,9,7,137.0,0,0,1,0,1,20,8,6,11.166666666666666,10,5,10.6,15.5,2.8,-4.06,0
263,1,1,9238,135.0,1,1,4,4,122.8,0,0,1,0,0,18,7,6,14.0,7,6,14.0,10.8,1.4,1.74,0
264,1,1,9238,130.0,38,19,9,5,121.6,0,0,1,0,0,18,6,6,12.833333333333334,6,6,12.0,12.4,0.5,1.79,0
265,1,2,9773,146.0,3,1,1,3,149.2,1,0,1,0,0,18,11,4,12.25,10,3,11.666666666666666,9.4,-0.8,-3.12,0
266,17,4,9500,146.0,4,1,2,3,140.0,1,0,1,0,0,18,8,7,14.828571428571427,8,7,14.828571428571427,12.7,3.7,-1.7,0
267,1,2,9773,154.0,38,38,9,9,133.4,1,0,1,0,1,19,7,5,11.4,8,5,12.8,12.7,3.7,-1.7,0
268,1,1,9070,137.0,37,37,9,9,126.2,1,0,1,0,1,19,6,6,13.0,8,6,12.5,10.8,1.4,1.74,0
269,1,5,9500,151.0,1,1,9,9,127.8,0,0,1,0,1,18,8,7,13.671428571428573,8,7,13.671428571428573,12.7,3.7,-1.7,0
270,44,1,9003,150.0,37,38,4,8,150.0,0,0,1,0,1,21,9,6,12.666666666666666,8,5,12.8,13.9,-0.3,0.79,0
272,17,1,9147,122.0,12,19,4,8,117.8,1,0,1,0,0,20,10,5,13.5,8,5,12.333333333333334,13.9,-0.3,0.79,0
274,1,1,9238,152.0,1,38,4,5,144.7,0,0,1,0,0,20,8,6,14.5,7,6,15.428571428571429,16.2,0.3,-0.92,0
275,17,3,9500,145.0,12,1,4,10,139.8,1,0,1,0,0,18,7,7,13.685714285714283,8,8,15.3875,13.9,-0.3,0.79,0
276,42,1,9853,120.0,37,38,3,3,113.7,0,0,1,0,0,20,8,5,11.0,10,3,10.666666666666666,12.7,3.7,-1.7,1
279,1,1,9500,129.0,19,19,5,5,119.6,1,0,1,0,1,20,8,7,14.00375,11,7,13.812857142857142,15.5,2.8,-4.06,0
283,1,1,9070,126.0,19,37,7,5,119.4,0,0,1,0,1,21,7,5,13.8,6,6,12.833333333333334,16.2,0.3,-0.92,0
284,1,1,8014,128.0,38,38,0,0,122.1,0,0,1,0,0,21,8,5,12.8,10,6,11.857142857142858,7.6,2.6,0.32,0
288,18,2,8014,117.0,3,1,3,4,111.8,1,0,1,0,1,19,8,6,10.833333333333334,9,6,11.5,10.8,1.4,1.74,0
291,44,1,9003,150.0,19,37,6,6,150.0,0,1,1,0,1,19,9,6,14.333333333333334,7,6,13.833333333333334,13.9,-0.3,0.79,0
293,17,4,9238,123.0,19,19,191,144,116.0,1,0,1,0,1,18,9,6,11.666666666666666,8,6,11.666666666666666,8.9,1.4,3.51,0
294,1,1,9070,130.0,38,37,3,6,135.6,1,0,1,0,1,19,9,5,12.0,10,2,11.333333333333334,8.9,1.4,3.51,1
295,1,1,9500,137.0,3,38,2,4,121.0,0,0,1,0,1,19,8,7,14.725714285714288,8,7,14.725714285714288,10.8,1.4,1.74,0
296,17,2,9773,126.0,19,38,9,8,118.7,1,0,1,0,1,18,6,6,14.166666666666666,6,6,13.666666666666666,12.4,0.5,1.79,0
297,1,1,9238,125.0,1,1,3,3,125.7,1,0,1,0,0,18,10,6,11.571428571428571,8,6,12.333333333333334,12.4,0.5,1.79,0
298,17,4,9556,112.0,1,1,4,10,107.1,1,0,1,0,0,20,7,7,12.5,8,8,13.1375,12.4,0.5,1.79,0
300,17,4,9670,135.0,38,38,9,7,127.0,1,0,1,0,0,18,10,6,12.25,9,6,13.714285714285714,11.1,0.6,2.02,0
301,1,2,9085,117.0,38,37,9,9,113.5,1,0,1,0,1,21,7,4,12.0,5,5,12.2,10.8,1.4,1.74,0
302,1,1,9500,160.0,19,19,4,9,154.4,0,0,1,0,1,18,9,7,15.116666666666667,9,8,16.168888888888887,15.5,2.8,-4.06,0
306,17,4,9670,120.0,1,19,5,5,117.2,1,0,1,0,0,18,8,6,11.875,11,4,14.6,11.1,0.6,2.02,0
312,17,2,9147,142.0,19,19,4,8,127.3,0,0,1,0,1,18,5,5,11.2,5,5,11.8,11.1,0.6,2.02,0
313,17,4,9853,121.0,38,38,5,7,113.7,1,0,1,0,1,20,8,5,13.4,9,5,13.666666666666666,9.4,-0.8,-3.12,0
315,1,1,9147,153.0,1,38,4,3,146.7,0,0,1,0,0,18,5,5,16.2,5,5,16.4,11.1,0.6,2.02,0
316,1,1,9500,140.0,19,19,3,6,124.3,1,0,1,0,1,18,7,7,14.542857142857144,11,8,14.88181818181818,16.2,0.3,-0.92,0
317,1,1,9500,152.0,41,19,3,5,137.8,0,0,1,0,0,19,7,7,13.694285714285714,9,8,14.355555555555554,11.1,0.6,2.02,0
318,1,1,9238,120.0,19,38,5,9,130.2,0,0,1,0,1,18,8,6,11.285714285714286,10,6,11.857142857142858,12.4,0.5,1.79,0
325,1,1,9254,121.0,19,19,5,8,117.5,1,0,1,0,0,18,7,6,10.571428571428571,11,3,11.666666666666666,16.2,0.3,-0.92,0
326,43,1,9500,134.0,1,37,9,9,120.4,1,0,1,0,0,19,7,6,13.333333333333334,7,6,13.333333333333334,7.6,2.6,0.32,0
327,1,1,9238,134.0,1,1,9,6,130.9,0,1,1,0,0,18,10,6,11.857142857142858,9,5,11.0,13.9,-0.3,0.79,0
332,1,1,9238,107.0,38,38,7,7,103.5,1,0,1,0,0,20,7,6,12.0,7,6,13.0,12.4,0.5,1.79,0
333,1,1,8014,126.0,37,38,9,10,119.4,0,0,1,0,0,19,6,6,12.666666666666666,6,6,11.666666666666666,12.7,3.7,-1.7,0
334,1,1,9238,133.0,34,37,4,9,134.4,1,0,1,0,1,18,6,6,12.166666666666666,9,6,13.666666666666666,9.4,-0.8,-3.12,0
338,17,1,9238,122.0,3,1,9,10,114.7,0,0,1,0,0,19,9,5,12.166666666666666,8,6,12.428571428571429,13.9,-0.3,0.79,0
345,1,1,9773,140.0,19,19,7,5,135.1,1,0,1,0,0,18,7,6,13.5,8,6,12.5,9.4,-0.8,-3.12,0
351,43,1,9773,123.0,19,19,9,8,134.0,0,0,1,0,1,20,6,6,13.666666666666666,6,6,13.333333333333334,12.4,0.5,1.79,0
353,1,1,9500,151.0,37,38,9,7,134.5,0,1,1,0,1,18,7,6,14.2,7,6,14.2,7.6,2.6,0.32,0
355,17,1,9085,133.0,19,1,4,5,127.1,1,0,1,0,0,18,7,6,15.0,7,6,16.428571428571427,11.1,0.6,2.02,0
360,17,4,9853,140.0,19,38,4,1,128.5,1,0,1,0,0,18,7,6,11.666666666666666,10,6,11.833333333333334,10.8,1.4,1.74,0
366,1,4,9500,136.0,19,38,4,8,125.5,1,0,1,0,1,21,7,6,14.033333333333331,7,6,14.033333333333331,7.6,2.6,0.32,0
368,1,1,9853,122.0,38,37,191,195,112.9,1,0,1,0,1,19,8,7,13.857142857142858,8,6,13.666666666666666,8.9,1.4,3.51,0
369,1,6,9500,138.0,19,19,9,5,124.8,1,0,1,0,0,18,8,7,13.414285714285716,8,7,13.414285714285716,12.7,3.7,-1.7,1
372,17,1,9773,161.0,1,19,4,7,148.4,0,0,1,0,1,19,6,6,13.833333333333334,7,6,14.428571428571429,15.5,2.8,-4.06,0
377,1,1,9500,152.0,1,1,4,4,141.0,1,0,1,0,1,18,7,7,15.135714285714286,8,8,15.287499999999998,12.4,0.5,1.79,0
383,1,1,9853,125.0,19,19,5,5,117.0,0,0,1,0,1,19,7,6,13.428571428571429,6,6,13.166666666666666,15.5,2.8,-4.06,0
385,1,1,9238,124.0,34,34,0,0,129.3,0,0,1,0,0,19,8,6,11.5,7,6,11.166666666666666,7.6,2.6,0.32,0
386,1,1,9853,140.0,37,37,9,9,145.3,0,0,1,0,0,18,6,6,13.666666666666666,9,6,12.333333333333334,7.6,2.6,0.32,0
392,1,6,9773,141.0,30,37,7,7,128.4,1,1,0,0,0,18,8,5,13.0,8,5,11.4,7.6,2.6,0.32,1
395,1,4,9500,147.0,1,1,4,9,124.5,1,0,1,0,1,19,11,7,12.86,11,7,12.86,10.8,1.4,1.74,0
398,17,1,9670,124.0,37,19,5,8,114.2,1,1,1,0,0,18,6,5,11.8,9,4,13.714285714285714,10.8,1.4,1.74,1
404,17,1,9500,142.0,37,37,5,5,131.3,1,0,1,0,0,19,8,7,14.731428571428571,8,7,14.731428571428571,10.8,1.4,1.74,0
408,17,1,9238,135.0,1,19,4,4,129.1,0,0,1,0,0,19,6,6,14.666666666666666,7,6,14.571428571428571,15.5,2.8,-4.06,0
410,1,2,9500,137.0,19,19,7,7,120.8,1,0,1,0,1,18,8,7,14.654285714285717,8,7,14.654285714285717,10.8,1.4,1.74,0
412,1,3,9500,128.0,1,1,4,10,118.9,1,0,1,0,0,20,8,7,11.5875,9,7,14.071428571428571,13.9,-0.3,0.79,0
414,1,1,9238,132.0,1,38,9,7,127.1,1,0,1,0,1,20,9,6,12.333333333333334,6,6,11.833333333333334,8.9,1.4,3.51,0
415,1,1,9085,131.0,37,37,90,90,137.0,0,0,1,0,0,18,5,5,14.0,6,5,15.4,7.6,2.6,0.32,0
418,1,4,9500,136.0,37,37,9,9,126.3,1,0,1,0,1,18,7,6,11.6,7,6,11.6,7.6,2.6,0.32,0
420,1,1,9500,135.0,2,1,2,8,126.6,0,0,1,0,1,19,7,7,12.901428571428571,9,8,13.094444444444443,11.1,0.6,2.02,0
424,17,6,9556,115.0,19,2,5,3,112.2,1,0,1,0,0,20,7,7,13.785714285714286,8,8,14.1,12.4,0.5,1.79,0
425,1,1,9500,144.0,37,37,9,3,150.5,0,0,1,0,0,20,7,6,13.916666666666666,7,6,13.916666666666666,7.6,2.6,0.32,0
426,1,4,9670,128.0,38,38,3,7,121.0,1,0,1,0,0,19,8,6,13.5,9,6,13.571428571428571,11.1,0.6,2.02,0
429,17,1,9670,121.0,19,38,4,10,114.4,0,0,1,0,0,19,10,5,11.5,9,4,14.6,11.1,0.6,2.02,0
430,1,3,9500,134.0,37,38,9,9,120.3,1,0,1,0,1,18,8,7,12.082857142857142,8,7,12.082857142857142,10.8,1.4,1.74,0
432,17,2,9147,125.0,38,38,6,8,114.5,1,0,1,0,1,19,6,5,13.4,5,5,12.4,12.4,0.5,1.79,0
434,1,1,9773,140.0,1,19,4,8,124.6,1,0,1,0,0,19,7,5,14.2,7,6,14.571428571428571,15.5,2.8,-4.06,0
435,1,6,9500,144.0,19,19,5,5,130.3,1,0,1,0,1,18,8,7,13.814285714285717,8,7,13.814285714285717,12.7,3.7,-1.7,0
437,1,1,9670,130.0,19,37,4,5,118.8,0,0,1,0,1,18,6,6,14.5,8,6,13.666666666666666,12.7,3.7,-1.7,0
442,17,6,9500,136.0,19,38,9,3,132.5,1,0,1,0,0,19,9,7,12.3,9,7,12.3,12.7,3.7,-1.7,0
443,1,5,9500,127.0,19,19,7,8,120.3,1,0,1,0,1,18,8,7,12.694285714285714,8,7,12.694285714285714,10.8,1.4,1.74,0
444,17,1,9670,123.0,19,19,1,1,114.6,0,0,1,0,0,18,5,4,11.0,5,4,11.0,9.4,-0.8,-3.12,0
445,1,1,9238,128.0,37,19,9,3,116.5,1,0,1,0,1,19,6,6,13.0,6,6,14.166666666666666,12.4,0.5,1.79,0
446,1,1,9500,128.0,3,1,2,1,127.8,0,0,1,0,1,19,8,7,14.4125,8,8,16.05,13.9,-0.3,0.79,0
447,1,2,9500,140.0,1,19,7,7,129.9,1,0,1,0,0,18,8,7,12.92875,8,8,14.0625,15.5,2.8,-4.06,1
448,1,2,9773,121.0,1,19,9,7,118.9,1,0,1,0,0,20,6,6,13.333333333333334,10,5,12.8,11.1,0.6,2.02,0
450,18,1,9500,126.0,38,37,5,5,114.8,1,0,1,0,0,20,8,7,14.402857142857142,8,7,14.402857142857142,10.8,1.4,1.74,0
451,1,4,9500,135.0,37,37,9,8,123.0,1,0,1,0,1,18,8,7,13.381428571428572,8,7,13.381428571428572,10.8,1.4,1.74,0
452,1,2,9500,131.0,19,19,7,5,122.1,1,0,1,0,0,18,8,7,14.13125,8,8,13.98375,15.5,2.8,-4.06,0
457,43,1,9853,140.0,37,19,9,8,122.3,0,0,1,0,0,22,9,5,13.6,8,5,12.0,12.7,3.7,-1.7,1
459,17,1,9773,125.0,37,37,5,7,120.1,0,0,1,0,1,18,7,6,12.5,8,6,13.333333333333334,16.2,0.3,-0.92,0
462,17,1,9238,144.0,3,1,2,3,126.9,0,0,1,0,0,19,8,5,10.6,11,4,10.5,15.5,2.8,-4.06,0
470,17,3,9500,144.0,1,37,9,9,126.5,1,0,1,0,1,20,8,7,13.487142857142857,8,7,13.487142857142857,10.8,1.4,1.74,0
471,1,1,9254,132.0,19,38,9,7,120.1,0,0,1,0,1,20,6,6,12.333333333333334,7,6,11.833333333333334,13.9,-0.3,0.79,0
